stateid,cityid,districtid,district_name
5,66,960,SARAYKENT                     
5,66,961,SARIKAYA                      
5,66,962,SORGUN                        
5,66,963,SEFAATLI                      
5,66,964,YENIFAKILI                    
5,66,965,YERKOY                        
6,67,966,ALAPLI                        
6,67,967,CAYCUMA                       
6,67,968,DEVREK                        
6,67,969,EREGLI                        
6,67,970,GOKCEBEY                      
6,67,971,KILIMLI                       
6,67,972,KOZLU                         
6,67,973,MERKEZ                        
