dataid,name,farmerid,area,ton,year
186,Portakal,1,52453,1689921,2009
187,Portakal,1,53236,1710500,2010
188,Portakal,1,54817,1730146,2011
189,Portakal,1,56247,1661111,2012
190,Portakal,1,54758,1781259,2013
191,Portakal,1,54653,1779675,2014
192,Portakal,1,54298,1816798,2015
193,Portakal,1,52695,1850000,2016
194,Portakal,1,51339,1950000,2017
195,Portakal,1,50806,1900000,2018
181,Limon,1,25000,600000,2004
182,Limon,1,25000,600000,2005
183,Limon,1,25164,710401,2006
184,Limon,1,24534,651767,2007
185,Limon,1,25160,672452,2008
186,Limon,1,25083,783587,2009
187,Limon,1,25360,787063,2010
188,Limon,1,24552,790211,2011
189,Limon,1,26563,710211,2012
190,Limon,1,27425,726283,2013
191,Limon,1,27665,725230,2014
192,Limon,1,28570,750550,2015
193,Limon,1,30032,850600,2016
194,Limon,1,32428,1007133,2017
195,Limon,1,35911,1100000,2018
181,Muz,1,3000,130000,2004
182,Muz,1,3600,150000,2005
183,Muz,1,3916,178000,2006
184,Muz,1,4410,189000,2007
185,Muz,1,4326,201000,2008
186,Muz,1,4334,204517,2009
187,Muz,1,4428,210178,2010
188,Muz,1,4507,206501,2011
189,Muz,1,4492,207727,2012
190,Muz,1,4670,215472,2013
191,Muz,1,5350,251994,2014
192,Muz,1,5838,270500,2015
193,Muz,1,6224,305926,2016
194,Muz,1,6821,369009,2017
195,Muz,1,7616,498888,2018
181,Fındık,1,650000,350000,2004
182,Fındık,1,655000,530000,2005
183,Fındık,1,666226,661000,2006
184,Fındık,1,663817,530000,2007
185,Fındık,1,663192,800791,2008
186,Fındık,1,642866,500000,2009
187,Fındık,1,667865,600000,2010
188,Fındık,1,696964,430000,2011
189,Fındık,1,713434,660000,2012
190,Fındık,1,702144,549000,2013
191,Fındık,1,701141,412000,2014
192,Fındık,1,702628,646000,2015
193,Fındık,1,705445,420000,2016
194,Fındık,1,706667,675000,2017
195,Fındık,1,728380,515000,2018
